Fuel Station Name,Date/Time,Petrol/Diesel/Gas,Payment,Queue,Road,Suburb,Station,City
HRE Gulf Service Station (opposite William Bain),19/10/2018 11:00,Diesel,,Short,Douglas Rd,Workington,Gulf,Harare
HRE Total 5th/Samora,18/10/2018 15:40,Petrol,Everyone/Swipe,"Long queue, needs patience",5th and Samora Machel,Harare,Total,Harare
BYO Engen 13th Ave,18/10/2018 13:00,Petrol,,"Medium, moving well",Robert Mugabe/13th Ave,Town,Engen,Bulawayo
HRE Kensys Gas,18/10/2018 10:02,Gas,Everyone/Swipe,No queue,Near Bluff Hill Business Park,Bluff Hill,Kensys,Harare
HRE Zuva Borrowdale,18/10/2018 07:21,Petrol,,Queue forming,,Borrowdale,Zuva,Harare
CHIRUNDU Ram,17/10/2018 18:15,"Petrol,Diesel",,No queue,,Chirundu,Ram,Chirundu
MAKUTI,17/10/2018 14:50,,,,,Makuti,Engen,Makuti
KAROI Total,17/10/2018 14:27,"Petrol,Diesel",Everyone/Swipe,2-3km queue,,Karoi,Total,Karoi
BYO Total R. Mugabe/6th,17/10/2018 11:17,Petrol,Everyone/Swipe,About 20 cars,Robert Mugabe/6th Avenue,Bulawayo,Total,Bulawayo
HRE Zuva Enterprise,17/10/2018 10:59,Petrol,Everyone/Swipe,"Orderly queue, moving fast",Enterprise Rd,Glen Lorne,Zuva,Harare
HRE Zuva Second St Extension,16/10/2018 17:01,Petrol,Everyone/Swipe,About 5 cars,Second Street Extension,Belgravia,Zuva,Harare
HRE Zuva Chiremba,16/10/2018 09:16,Petrol,Everyone/Swipe,Short queue,Chiremba Rd,Chadcombe,Zuva,Harare
HRE Zuva Chisipite,15/10/2018 14:33,Petrol,Everyone/Swipe,Short queue,,Chisipite,Zuva,Harare
HRE Sakunda Mutare,14/10/2018 16:05,"Petrol,Diesel",Everyone/Swipe,No queue,Mutate Rd,Msasa,Sakunda,Harare
HRE Engen Mbare,14/10/2018 10:17,Diesel,Everyone/Swipe,Short queue,,Mbare,Engen,Harare
HRE Bishop Gaul/Met Office,14/10/2018 06:53,Gas,$4/kg,No queue,Bishop Gaul Ave,Belvedere,Vendor,Harare
HRE Ram Downtown,13/10/2018 17:40,"Petrol,Diesel",Cash only,No queue,,Harare,Ram,Harare
HRE Engen Glen Norah,13/10/2018 17:35,Petrol,Everyone/Swipe,Short queue,,Glen Norah,Engen,Harare
HRE Avonlea Total,13/10/2018 15:39,Petrol,Everyone/Swipe,Short queue,,Avonlea,Total,Harare
HRE Total 4th Street,13/10/2018 10:40,"Petrol,Diesel",Everyone/Swipe,100 cars,Samora Machel/4th Street,Harare,Total,Harare
HRE Redan Glenara,13/10/2018 08:58,"Petrol,Diesel",Everyone/Swipe,100 cars,,Highlands,Redan,Harare
HRE Total Msasa Coronation,2/10/2018 12:30,Diesel,Everyone/Swipe,No queue,Amby Dr,Msasa,Total,Harare
BYO Zuva13th/Fort,2/10/2018 07:50,Petrol,,"Medium queue, moving well",13th/Fort St,Bulawayo,Zuva,Bulawayo
HRE Total Athlone,,Petrol,Everyone/Swipe,Short queue,Greengrove Dr,Athlone,Total,Harare
