Fuel Station Name,Date/Time,Petrol/Diesel/Gas,Payment,Queue,Road,Suburb,Station,City
BYO Trek 15th/Fort Street,26/11/2018 08:30,"Petrol,Diesel","Everyone, all methods",,15th/Fort Street,Bulawayo,Trek,Harare
BYO Trek 12th Ave,26/11/2018 08:30,"Petrol,Diesel","Everyone, all methods",Short,12th Ave/Fife St,Town,Trek,Bulawayo
BYO Flo Bob's Nust,26/11/2018 08:30,"Petrol,Diesel",,Short,Byo/Gwanda Road,Bulawayo,Flo Petroleum,Bulawayo
HRE Puma Bond,26/11/2018 08:00,,,,The Chase,Mount Pleasant,Puma,Harare
HRE Puma Lewisam,26/11/2018 08:00,,Everyone/Swipe,,Enterprise Rd,Lewisam,Puma,Harare
HRE Total Belgravia (24hr),25/11/2018 11:39,Petrol,Everyone/Swipe,50 cars,Second Street/Churchill,Belgravia,Total,Harare
HRE Trek Hre Dr/Alpes,25/11/2018 11:30,"Petrol,Diesel",Cardholders,,Harare Dr,Northwood,Trek,Harare
HRE Trek Graniteside (24hr),25/11/2018 11:30,"Diesel,Petrol",Cardholders,,Kelvin Corner Cripps,Graniteside,Trek,Harare
HRE Zuva Coventry,25/11/2018 11:30,"Diesel,Petrol",All,No queue,Coventry Rd,Workington,Zuva,Harare
HRE Puma Westgate,25/11/2018 11:02,Petrol,Swipe/Ecocash,No queue yet,Westgate complex,Westgate,Puma,Harare
HRE Puma Glenara (24hr),25/11/2018 10:00,Petrol,,"Queue building, will serve at 10",Glenara Ave,Highlands,Puma,Harare
HRE Zuva Sam Levy,25/11/2018 10:00,Petrol,Everyone/All Methods,No queue,,Borrowdale,Zuva,Harare
HRE Zuva Seke,25/11/2018 08:57,,,,Seke Rd,Harare,Zuva,Harare
HRE Engen Msasa,25/11/2018 08:52,,,,Samora Machel Ave,Msasa,Engen,Harare
HRE Glow Msasa,25/11/2018 08:52,,,,Mutare Rd,Msasa,Glow,Harare
BYO Glow Khami,25/11/2018 08:49,Petrol,,,Khami Rd,Bulawayo,Glow,Bulawayo
HRE Total Msasa,25/11/2018 08:44,Petrol,Everyone/Swipe,Manageable queue,,Msasa,Total,Harare
HRE Puma Msasa (24hr),25/11/2018 08:43,"Petrol,Diesel",Everyone/Swipe,,Mutare Rd,Msasa,Puma,Harare
HRE Puma Graniteside,25/11/2018 08:36,Petrol,,"40 cars, orderly fast moving queue",,Graniteside,Puma,Harare
HRE Total Simon Mazorodze,25/11/2018 07:42,"Petrol,Diesel",Everyone/Swipe,Short queue,Simon Mazorodze Rd (Mbudzi roundabout),Harare,Total,Harare
HRE Zuva Pomona,24/11/2018 14:26,"Diesel,Petrol,Gas",,Moving quickly,Edinburgh/Borrowdale Rd,Pomona,Zuva,Harare
HRE Puma Chitungwiza,24/11/2018 14:15,Petrol,Everyone/Swipe,No queue,Unit L,Chitungwiza,Puma,Harare
HRE Total Motor City (24hr),24/11/2018 14:13,Petrol,Everyone/Swipe,"Short, moving fast",Seke Rd,Harare,Total,Harare
HRE Total Airport Rd,24/11/2018 14:13,"Petrol,Diesel",All methods. Everyone.,,Airport Rd,Hatfield,Total,Harare
HRE Zuva Braeside,24/11/2018 14:12,Petrol,Everyone/Swipe,Very long queue,Horatio Ave,Braeside,Zuva,Harare
HRE Netstop Helensvale,24/11/2018 12:55,Diesel,Everyone/Swipe,Short queue,Gaydon Rd/Carrick Creagh,Helensvale,Netstop,Harare
HRE Zuva Blue Lagoon,24/11/2018 12:30,Diesel,Ecocash or cash only,,Lomangandi/West Rd,Emerald Hill,Zuva,Harare
HRE Zuva Belgravia (24hr),24/11/2018 10:30,Petrol,,Long queue,Churchill/Second Street,Belgravia,Zuva,Harare
HRE Puma Second St/Kwame,24/11/2018 09:00,Petrol,Everyone/Swipe/Ecocash,Short queue,Second Street/Kwame Nkrumah,Harare,Puma,Harare
HWG Zuva Coronation,24/11/2018 08:30,"Petrol,Diesel",All methods,No queues,Coronation Dr,Coronation,Zuva,Hwange
BYO Total Southwold,24/11/2018 08:30,Petrol,All,,,Southwold,Total,Bulawayo
HRE Total Greencroft,23/11/2018 17:00,"Petrol,Diesel",Everyone/Swipe,,,Greencroft,Total,Harare
HRE Total Msasa ,23/11/2018 16:30,Petrol,Everyone/Swipe,medium queue,Mutare Rd opposite Metro Peech,Msasa,Total,Harare
HRE Total Samora/Chinhoyi,23/11/2018 16:30,Petrol,Everyone/Swipe,About 15 cars,Samora Machel Ave/ cnr Chinhoyi St,Harare,Total,Harare
HRE Zuva Strathaven,23/11/2018 11:30,Petrol,,Offloading ,Suffolk Rd,Strathaven,Zuva,Harare
HRE Total Westgate,23/11/2018 11:30,"Petrol,Diesel",Ecocash/Swipe,Short and fast moving,Lomangandi Rd,Westgate,Total,Harare
HRE Puma Rezende,23/11/2018 11:30,Diesel,,No queue,Rezende/Bute Street,Harare,Puma,Harare
HRE Total Avonlea,23/11/2018 11:15,Petrol,Everyone/Swipe,,,Avonlea,Total,Harare
BYO Puma Main St.,23/11/2018 10:00,Petrol,,About 50 cars,Main St./5th,Bulawayo,Puma,Bulawayo
HRE Total Chisipite (24hr),23/11/2018 07:20,"Diesel,Petrol",,Growing,Enterprise Rd,Chisipite,Total,Harare
HRE Zuva Mabelreign,22/11/2018 18:00,Petrol,Everyone,Long queue,Sherwood Dr,Mabelreign,Zuva,Harare
HRE Zuva The Grange,22/11/2018 16:00,"Petrol,Diesel",All,Fast moving queue,Enterprise just after Harare Dr,The Grange,Zuva,Harare
BYO Total Ascot,22/11/2018 13:30,Petrol,All,Short,Gwanda Road/cnr Greyville Rd,Bulawayo,Total,Bulawayo
HRE Total Nelson Mandela ,22/11/2018 10:10,Petrol,All methods,Moving fast,"Nelson Mandela Ave, between 3rd/4th St",Harare,Total,Harare
HRE Total Marlborough,22/11/2018 10:05,Petrol,All,,Marlborough Civic Centre,Marlborough,Total,Harare
BYO Zuva Woodlands,21/11/2018 13:15,Petrol,,, 12th Ave CNR Cecil Ave,Woodlands,Zuva,Bulawayo
BYO Glow Belmont,21/11/2018 10:55,Diesel,Everyone/Swipe,Tanker offloading,Plumtree Rd,Belmont,Glow,Bulawayo
HRE Engen Newlands,21/11/2018 10:15,Diesel,,About 40 cars,,Newlands,Engen,Harare
HRE Total Emerald Hill,21/11/2018 09:47,,All payment methods,Just stopped serving ,Golden Stairs,Emerald Hill,Total,Harare
LUPANE Comoil,5/11/2018 11:07,"Diesel,Petrol",,20 cars,,Lupane,Comoil,Lupane
BYO Puma Nketa,4/11/2018 09:00,Diesel,All methods/everyone,No queue,Nketa Dr,Mpopoma,Puma,Bulawayo
BYO Zuva Pumula East,4/11/2018 08:10,Petrol,,,,Bulawayo,Zuva,Bulawayo
BYO Total 15th/Plumtree,4/11/2018 08:07,Petrol,Everyone/Swipe,,15th Avenue/Plumtree Road,Bulawayo,Total,Bulawayo
BYO Total Ntumbane,3/11/2018 10:40,Petrol,,,,Bulawayo,Total,Bulawayo
BYO Zuva Harare Rd,3/11/2018 10:20,Petrol,,Short queue,Harare Rd,Bulawayo,Zuva,Bulawayo
BYO Zuva John Love,3/11/2018 09:17,Petrol,,Short but fast increasing,,Bulawayo,Zuva ,Bulawayo
HRE Puma Rhodesville,2/11/2018 14:10,Diesel,Everyone/Swipe,,Rhodesville Ave,Greendale,Puma,Harare
HRE Engen Avondale,1/11/2018 08:55,Petrol,,,King George Rd,Avondale,Engen,Harare
BYO Total Hillside,31/10/2018 13:50,Petrol,All,Short,"Ceceil Rd (near Spar, Hillside)",Hillside,Total ,Bulawayo
BYO Zuva Airport Rd (Ikes),31/10/2018 07:46,"Petrol,Diesel",All,,Airport Rd,CBD,Zuva,Bulawayo
BYO Classic Cars Belmont,31/10/2018 07:45,Petrol,Swipe or cash $50/car,Short queue ,,Belmont,Classic Cars,Bulawayo
BYO Zuva Romney Park,30/10/2018 15:55,Petrol,Cash/Ecocash,Tanker offloading,,Romney Park,Zuva,Bulawayo
BYO Zuva Macs,30/10/2018 14:20,Petrol,,No queue,L. Takawira/J.Tongogara,Bulawayo,Zuva,Bulawayo
HRE Puma Meyrick Park,30/10/2018 07:50,Petrol,Everyone/Swipe,Short queue,,Meyrick Park,Puma,Harare
BYO Petrotrade Matshobana,29/10/2018 10:00,Petrol,Everyone/Swipe,Short,"Just after Mzilika Flyover, Luveve Road",Matshobana,Petrotrade,Bulawayo
BYO Flo Plumtree,29/10/2018 08:45,Petrol,,Very short queue,Plumtree Rd,Bulawayo,Flo Petroleum ,Bulawayo
HRE Thuli Kambuzuma,28/10/2018 17:27,"Petrol,Gas",Everyone/Swipe,No queues,,Kambuzuma,Thuli,Harare
HRE Engen Madokero,28/10/2018 14:15,Petrol,Everyone/Swipe,No queue,,Madokero,Engen,Harare
HRE Puma Lytton,28/10/2018 13:45,Petrol,All methods,Short queue,Lytton Rd,Workington,Puma,Harare
BYO Total 4th Ave,28/10/2018 10:20,Diesel,All,No queue,Cnr 4th Ave/G. Silundika,Bulawayo,Total,Bulawayo
HRE Puma Airport Rd,28/10/2018 08:05,"Petrol,Diesel",Everyone/Swipe,No queue,Airport Rd/St Patricks Rd,Hatfield,Puma,Harare
HRE Puma Kuwadzana,28/10/2018 06:41,Petrol,All methods. Jerry cans accepted.,5 cars,,Kuwadzana,Puma,Harare
HRE Zuva Northway/Seke,27/10/2018 20:00,Petrol,Everyone/Swipe,,Northway,Hatfield,Zuva,Harare
HRE Total Kuwadzana 2,27/10/2018 20:00,Petrol,,,,Kuwadzana,Total,Harare
HRE Puma Mt Hampden,27/10/2018 20:00,Petrol,,Short queue ,Kariba Rd ,Mount Hampden,Puma,Harare
HRE Petrotrade Warren Park,27/10/2018 20:00,"Petrol,Diesel",,Short queue ,,Warren Park,Petrotrade,Harare
HRE Glow Chiremba,27/10/2018 20:00,Diesel,All methods,Very short queue ,Chiremba Rd ,Chadcombe,Glow,Harare
HRE Total Strathaven,27/10/2018 18:35,Diesel,,Short queue ,,Strathaven,Total,Harare
HRE Zuva Village,27/10/2018 18:06,Petrol,,Tanker offloading,Borrowdale Rd,Borrowdale,Zuva,Harare
HRE Puma Southerton,27/10/2018 17:08,Diesel,,No queue,,Southerton,Puma,Harare
HRE Zuva Simon Mazorodze ,27/10/2018 16:37,Petrol,Everyone/Swipe,No queue,Simon Mazorodze Rd close to Nazerreth Hospital,Harare,Zuva,Harare
HRE Engen Divaris,27/10/2018 16:34,Petrol,Everyone/Swipe,Short queue,,Belvedere,Engen,Harare
HRE Engen Belvedere,27/10/2018 16:18,Petrol,,Short,,Belvedere,Engen,Harare
BYO Total 13th/Fife,27/10/2018 14:28,"Petrol,Diesel",Everyone/Ecocash and cash only/$30/car,Reasonable queue,13th Ave/Fife St,Bulawayo,Total,Bulawayo
HRE Puma Willowvale,27/10/2018 14:19,Diesel,All methods,Short queue,,Willowvale,Puma,Harare
HRE Zuva Willowvale,27/10/2018 14:18,Petrol,Everyone/Swipe,Short queue,,Southerton,Zuva,Harare
HRE Puma Chadcombe,27/10/2018 13:57,Petrol,Everyone/Swipe,17 cars,Chiremba Rd,Chadcombe,Puma,Harare
HRE Zuva Newlands,27/10/2018 12:30,,,No Fuel,Old Enterprise (The Zuva near Steers),Newlands,Zuva,Harare
HRE Zuva Newlands,27/10/2018 09:46,Petrol,Everyone/Swipe,About 30 cars,Corner of Kenilworth Road,Newlands,Zuva,Harare
HRE Puma Chisipite,27/10/2018 08:42,Petrol,Everyone/Swipe,Long queue,Enterprise Rd,Chisipite,Puma,Harare
BYO Engen Northend,26/10/2018 17:04,Petrol,Swipe,,Northend,Bulawayo,Engen,Bulawayo
HRE Puma Seventh St,26/10/2018 17:02,Petrol,,Slow moving queue,Seventh St,Harare,Puma,Harare
HRE Engen Chiremba,26/10/2018 17:00,Petrol,Swipe/Cash,,Chiremba/St Patrick,Chadcombe,Engen,Harare
HRE Total Second St,26/10/2018 16:00,Petrol,All methods,About 30 cars,Second St/Nelson Mandela Ave,Harare,Total,Harare
HRE Zuva Kambazuma,26/10/2018 15:00,Petrol,Everyone/Swipe,Just received. Queues developing,,Kambazuma,Zuva,Harare
HRE Engen Robert Mugabe,26/10/2018 14:45,Petrol,,About 30 cars,Robert Mugabe across from VID,Harare,Engen,Harare
Total Makomva,26/10/2018 12:12,Diesel,,,Glenview Way,Glenview,Total,Harare
HRE Total Samora (24hr),26/10/2018 10:42,Petrol,Everyone/Swipe,About 40 cars,Samora Machel Ave,Harare,Total,Harare
HRE Zuva Sherwood,26/10/2018 09:15,Diesel,Everyone/Swipe,,Sherwood Dr,Meyrick Park,Zuva,Harare
HRE ZX Fuels Umwinzidale,26/10/2018 09:15,Petrol,Swipe/Cash,No queue. More petrol&diesel expected during the day,,Umwinzidale,ZX Fuels,Harare
HRE Petrotrade Park St,26/10/2018 07:33,Diesel,Everyone/Swipe,Short queue,Park St/Mandela,Harare,Petrotrade,Harare
BINDURA Puma,25/10/2018 12:43,,Everyone/Swipe,,,Bindura,Puma,Bindura
HRE Net Fuel Gaydon,25/10/2018 12:04,Petrol,,No queue,Grayson Rd,Greystone Park,Net Fuel,Harare
ZVIS Puma Zvishavane,25/10/2018 12:00,Petrol,,,,Zvishavane,Puma,Harare
HRE Puma Marlborough,25/10/2018 11:34,Diesel,All payment methods.,Offloading ,Harare Dr,Marlborough,Puma,Harare
HRE Zuva Charter,25/10/2018 11:13,Diesel,,Long,Charter St,Harare,Zuva,Harare
BYO Puma Bellevue,25/10/2018 11:10,,Everyone/Swipe,Short,,Bellevue,Puma,Bulawayo
HRE Puma Second/Nelson,25/10/2018 11:09,,Everyone/Swipe,No queue,Second Street/Nelson Mandela,Harare,Puma,Harare
MAR Puma Marondera (24hr),25/10/2018 11:08,,Everyone/Swipe,,,Marondera,Puma,Marondera
BYO Puma Bellevue,25/10/2018 11:06,,Everyone/Swipe,,Plumtree Rd,Bellevue,Puma,Bulawayo
CHINHOYI Puma,25/10/2018 11:05,Petrol,Everyone/Swipe,,,Chinhoyi,Puma,Chinhoyi
BYO Puma 11th/12th,25/10/2018 11:04,,Everyone/Swipe,,,Bulawayo,Puma,Bulawayo
HRE Puma Runiville,25/10/2018 11:03,,Everyone,,Glenara Ave,Highlands,Puma,Harare
HRE Puma Mbuya Nehanda,25/10/2018 11:02,Petrol,Everyone/Swipe,,Mbuya Nehanda Rd,Harare,Puma,Harare
HRE Puma Sunway City,25/10/2018 10:58,Diesel,All,,Mutare Rd,Ruwa,Puma,Harare
HRE Puma Victor Onion Motors,25/10/2018 10:56,Diesel,,,Harare Dr,Harare,Puma,Harare
HRE Puma Samora/7th (24hr),25/10/2018 10:49,"Petrol,Diesel",,,Samora Machel/7th Street,Harare,Puma,Harare
HRE Puma Mabelreign,25/10/2018 10:47,,Everyone/Swipe,,Sherwood Dr,Mabelreign,Puma,Harare
HRE Puma Whitehouse,25/10/2018 10:45,,,,Bulawayo Rd,Harare,Puma,Harare
BYO Total 5th Ave,25/10/2018 09:26,Petrol,Everyone/Swipe,About to start serving,Robert Mugabe/5th Avenue,Bulawayo,Total,Bulawayo
HRE Petrotrade Westlea,25/10/2018 08:43,"Diesel,Petrol",,,Bulawayo Rd,Westlea,Petrotrade,Harare
HRE Flo Tynwald,25/10/2018 08:42,Diesel,,"60 cars - (Limited to 30l/car, 200l/truck)",Tynwald Rd,Tynwald,Flo Petroleum,Harare
GWERU Engen,24/10/2018 21:10,Petrol,,,Main St,Gweru,Engen,Gweru
HRE Engen Makoni,24/10/2018 19:32,Petrol,Everyone/Swipe,,Makoni Rd,Chitungwiza,Engen,Harare
HRE BJ Chiremba Galactica,24/10/2018 15:31,Diesel,Everyone/Swipe,Short,Chiremba Rd,Braeside,BJ Petroleum,Harare
ZVIS Zuva Zvishavane ,24/10/2018 08:30,Diesel,Everyone/Swipe,,,Zvishavane,Zuva,Zvishavane
HRE Zuva Belvedere,24/10/2018 07:00,Petrol,,No queues,,Belvedere,Zuva,Harare
HRE Engen Kirkman,23/10/2018 18:44,Petrol,"Swipe Only, no membership card",Long queue,Kirkman/Tongogara after Wilkins Hospital,Harare,Engen,Harare
HRE Zuva Samora,23/10/2018 18:40,Petrol,Everyone/Swipe,20 and moving well,Samora/Leopold Takawira,Harare,Zuva,Harare
HRE Zuva Greencroft,23/10/2018 17:32,Petrol,Everyone/Swipe,,Cnr West/Lomangandi,Greencroft,Zuva,Harare
HRE Total Lyton Rd,23/10/2018 16:45,"Petrol,Diesel",Everyone/Swipe,,Lyton Rd,Workington,Total,Harare
ZVIS Total Zvishavane,23/10/2018 16:15,Diesel,Everyone/Swipe,,,Zvishavane,Total,Zvishavane
ZVIS Pure Petroleum Zvishavane ,23/10/2018 16:15,Petrol,Everyone/Swipe,,,Zvishavane,Pure Petroleum,Zvishavane
HRE Zuva Southerton,23/10/2018 14:02,"Petrol,Gas",Everyone/Swipe,20 cars,Gleneagles Rd,Southerton,Zuva,Harare
GWANDA Engen,23/10/2018 08:02,Petrol,,,,Gwanda,Engen,Gwanda
KARIBA Zuva,22/10/2018 16:40,Petrol,,Short queue,,Kariba,Zuva,Kariba
KARIBA Total,22/10/2018 16:40,Petrol,,Short queue,,Kariba,Total,Kariba
KARIBA Glow,22/10/2018 16:40,Petrol,,Short queue,,Kariba,Glow,Kariba
HRE Zuva Emerald Hill,22/10/2018 16:32,"Petrol,Gas",Everyone only Ecocash/cash,Long queue moving slowly,By Emerald Hill Post Office,Emerald Hill,Zuva,Harare
HRE Total Houghton Park,22/10/2018 15:40,Petrol,,Manageable moving but long,,Houghton Park,Total,Harare
HRE Bravo Ardbennie,22/10/2018 12:13,Petrol,"Swipe down, only ecocash or cash.",Short queue moving fast,,Ardbennie,Bravo Petroleum,Harare
HRE Glow Ardbennie,22/10/2018 09:43,"Petrol,Diesel",Diesel available but limit on petrol.,Long but commuters are filling up - taking longer than usual,Waterfalls Ave,Ardbennie,Glow,Harare
BYO Total 13th/Robert Mugabe,22/10/2018 07:20,Petrol,Everyone/Swipe,"Long queue, moving slowly",13th Street/Robert Mugabe,Bulawayo,Total,Bulawayo
HRE Maps Ruwa,22/10/2018 00:59,Petrol,Cash/Swipe,Moving fast,,Ruwa,Maps,Harare
HRE MAPS Houghton Park,21/10/2018 19:38,"Diesel,Petrol",Everyone/All,Queue moving fast,Houghton Park Road across the road from the Engen,Houghton Park,Maps,Harare
HRE Petrotrade Sunningdale,21/10/2018 18:01,Petrol,Everyone/Swipe,,,Sunnindale,Petrotrade,Harare
GWANDA Glow,21/10/2018 17:12,"Diesel,Petrol",Everyone/Swipe,Diesel no queue. Petrol short queue.,,Gwanda,Glow,Gwanda
HRE Petrotrade Tynwald,21/10/2018 15:46,Petrol,,,By N.Richards,Tynwald,Petrotrade,Harare
HRE Engen 4th Street,21/10/2018 15:07,"Petrol,Diesel",Everyone/Swipe,"Fast queues, great service",4th St,Harare,Engen,Harare
HRE Zuva Lorraine,21/10/2018 11:47,Gas,Everyone/Swipe,,Harare Dr/Lorraine,Mabelreign,Zuva,Harare
BYO Glow Belmont,21/10/2018 08:24,"Diesel,Petrol",,"Long, moving well",Plumtree Rd,Belmont,Glow,Bulawayo
BYO Nissan 6th,21/10/2018 08:23,Diesel,,,6th Avenue/Robert Mugabe Way,Bulawayo,Nissan,Bulawayo
BYO Busuman Motors,21/10/2018 08:21,Petrol,Cash Only,,,Bulawayo,Busuman Motors,Bulawayo
HRE Glow Waterfalls,20/10/2018 16:20,"Petrol,Diesel",All,,,Waterfalls,Glow,Harare
HRE Super Fuels Dzivaresekwa,20/10/2018 16:15,"Petrol,Diesel",Everyone,Long,Kirkman Rd at Nyamachoma,Dzivarasekwa,Super Fuels,Harare
HRE Zuva Kopje,20/10/2018 14:59,Petrol,,25 cars,,Harare,Zuva,Harare
HRE Zuva Eastlea,20/10/2018 13:58,Petrol,Everyone/Swipe,60 cars. Queue moving fast,Samora Machel where Haddon Motors used to be ,Eastlea,Zuva,Harare
HRE Total High Glen,20/10/2018 11:05,Petrol,Everyone/Swipe,,,High Glen,Total,Harare
HRE Total Mbuya Nehanda,20/10/2018 11:00,Petrol,Everyone/Swipe,,Mbuya Nehanda Rd,Harare,Total,Harare
HRE Engen Dzivarasekwa,20/10/2018 10:40,Petrol,Everyone/Swipe,Long queue but moving fast as two pumps dispensing,Kirkman Rd,Dzivarasekwa,Engen,Harare
HRE Total Graniteside,20/10/2018 10:36,Petrol,Everyone/Swipe,Tankers offloading,,Graniteside,Total,Harare
HRE Engen Princess,20/10/2018 09:50,Petrol,Everyone/Swipe,Queue moving fast,Princess Rd,Belvedere,Engen,Harare
HRE Engen Lomagundi,20/10/2018 08:05,Petrol,,100m long,Lomugundi Rd,Avonlea,Engen,Harare
HRE Total Julius Nyerere,20/10/2018 01:38,Diesel,Everyone/Swipe,30 cars,Julius Nyerere Rd,Harare,Total,Harare
HRE Engen R. Mugabe/Kaguvi,19/10/2018 22:15,Petrol,,30 cars,Robert  Mugabe/Kaguvi Street,Harare,Engen,Harare
GWERU Zuva,19/10/2018 19:52,Petrol,Everyone/Swipe,,,Gweru,Zuva,Gweru
HRE Bon Marche B.Brooke,19/10/2018 19:15,Gas,Swipe,,,Borrowdale Brooke,Bon Marche,Harare
HRE Engen Coventry,19/10/2018 17:40,"Petrol,Diesel",Cash only,No queue,Coventry Rd,Workington,Engen,Harare
BYO Total Cecil Ave,19/10/2018 16:10,Diesel,,,Cecil Ave,Bulawayo,Total ,Bulawayo
